andor_practitioner_id,andor_org_guid,encounter_count,run_id
PROV_9999999995,ANDOR_ORG_480,301,andor1000_placeholder
PROV_9999978999,ANDOR_ORG_706,293,andor1000_placeholder
PROV_9999987792,ANDOR_ORG_063,291,andor1000_placeholder
PROV_9999938993,ANDOR_ORG_697,291,andor1000_placeholder
PROV_9999985598,ANDOR_ORG_392,289,andor1000_placeholder
PROV_9999992396,ANDOR_ORG_083,281,andor1000_placeholder
PROV_9999996694,ANDOR_ORG_273,280,andor1000_placeholder
PROV_9999984898,ANDOR_ORG_702,278,andor1000_placeholder
PROV_9999996199,ANDOR_ORG_075,277,andor1000_placeholder
PROV_9999992198,ANDOR_ORG_258,265,andor1000_placeholder
PROV_9999919696,ANDOR_ORG_764,250,andor1000_placeholder
PROV_9999993493,ANDOR_ORG_712,247,andor1000_placeholder
PROV_9999990796,ANDOR_ORG_417,241,andor1000_placeholder
PROV_9999996298,ANDOR_ORG_443,239,andor1000_placeholder
PROV_9999993394,ANDOR_ORG_705,234,andor1000_placeholder
PROV_9999993295,ANDOR_ORG_348,230,andor1000_placeholder
PROV_9999996397,ANDOR_ORG_007,226,andor1000_placeholder
PROV_9999988899,ANDOR_ORG_228,225,andor1000_placeholder
PROV_9999998492,ANDOR_ORG_093,213,andor1000_placeholder
PROV_9999998096,ANDOR_ORG_599,211,andor1000_placeholder
PROV_9999999292,ANDOR_ORG_249,210,andor1000_placeholder
PROV_9999987891,ANDOR_ORG_320,204,andor1000_placeholder
PROV_9999998690,ANDOR_ORG_743,204,andor1000_placeholder
PROV_9999985994,ANDOR_ORG_078,203,andor1000_placeholder
PROV_9999996892,ANDOR_ORG_372,198,andor1000_placeholder
PROV_9999977991,ANDOR_ORG_463,197,andor1000_placeholder
PROV_9999984393,ANDOR_ORG_668,194,andor1000_placeholder
PROV_9999982199,ANDOR_ORG_358,192,andor1000_placeholder
PROV_9999990093,ANDOR_ORG_338,189,andor1000_placeholder
PROV_9999994798,ANDOR_ORG_617,188,andor1000_placeholder
PROV_9999995795,ANDOR_ORG_608,187,andor1000_placeholder
PROV_9999989996,ANDOR_ORG_426,186,andor1000_placeholder
PROV_9999971598,ANDOR_ORG_002,186,andor1000_placeholder
PROV_9999991398,ANDOR_ORG_088,183,andor1000_placeholder
PROV_9999997999,ANDOR_ORG_685,181,andor1000_placeholder
PROV_9999980292,ANDOR_ORG_012,181,andor1000_placeholder
PROV_9999994590,ANDOR_ORG_499,179,andor1000_placeholder
PROV_9999985192,ANDOR_ORG_394,178,andor1000_placeholder
PROV_9999999599,ANDOR_ORG_041,177,andor1000_placeholder
PROV_9999999896,ANDOR_ORG_290,177,andor1000_placeholder
PROV_9999989194,ANDOR_ORG_487,175,andor1000_placeholder
PROV_9999997098,ANDOR_ORG_385,173,andor1000_placeholder
PROV_9999983999,ANDOR_ORG_277,169,andor1000_placeholder
PROV_9999990895,ANDOR_ORG_595,162,andor1000_placeholder
PROV_9999989095,ANDOR_ORG_100,162,andor1000_placeholder
PROV_9999950592,ANDOR_ORG_703,148,andor1000_placeholder
PROV_9999986596,ANDOR_ORG_125,147,andor1000_placeholder
PROV_9999954990,ANDOR_ORG_640,146,andor1000_placeholder
PROV_9999991695,ANDOR_ORG_198,145,andor1000_placeholder
PROV_9999995993,ANDOR_ORG_370,144,andor1000_placeholder
PROV_9999994194,ANDOR_ORG_553,144,andor1000_placeholder
PROV_9999947994,ANDOR_ORG_474,143,andor1000_placeholder
PROV_9999990390,ANDOR_ORG_380,142,andor1000_placeholder
PROV_9999952499,ANDOR_ORG_466,142,andor1000_placeholder
PROV_9999982595,ANDOR_ORG_589,142,andor1000_placeholder
PROV_9999991992,ANDOR_ORG_713,140,andor1000_placeholder
PROV_9999981290,ANDOR_ORG_752,140,andor1000_placeholder
PROV_9999970897,ANDOR_ORG_036,140,andor1000_placeholder
PROV_9999982694,ANDOR_ORG_399,138,andor1000_placeholder
PROV_9999970293,ANDOR_ORG_251,137,andor1000_placeholder
PROV_9999991893,ANDOR_ORG_132,136,andor1000_placeholder
PROV_9999987693,ANDOR_ORG_327,136,andor1000_placeholder
PROV_9999995290,ANDOR_ORG_157,135,andor1000_placeholder
PROV_9999994897,ANDOR_ORG_710,134,andor1000_placeholder
PROV_9999991091,ANDOR_ORG_441,133,andor1000_placeholder
PROV_9999964999,ANDOR_ORG_107,130,andor1000_placeholder
PROV_9999998294,ANDOR_ORG_318,129,andor1000_placeholder
PROV_9999988691,ANDOR_ORG_084,129,andor1000_placeholder
PROV_9999955690,ANDOR_ORG_122,125,andor1000_placeholder
PROV_9999992891,ANDOR_ORG_489,124,andor1000_placeholder
PROV_9999992297,ANDOR_ORG_468,122,andor1000_placeholder
PROV_9999968099,ANDOR_ORG_111,121,andor1000_placeholder
PROV_9999982090,ANDOR_ORG_597,121,andor1000_placeholder
PROV_9999941690,ANDOR_ORG_433,120,andor1000_placeholder
PROV_9999987198,ANDOR_ORG_524,120,andor1000_placeholder
PROV_9999988493,ANDOR_ORG_747,120,andor1000_placeholder
PROV_9999994095,ANDOR_ORG_299,118,andor1000_placeholder
PROV_9999953091,ANDOR_ORG_400,118,andor1000_placeholder
PROV_9999946996,ANDOR_ORG_637,115,andor1000_placeholder
PROV_9999993998,ANDOR_ORG_239,115,andor1000_placeholder
PROV_9999971796,ANDOR_ORG_462,114,andor1000_placeholder
PROV_9999973396,ANDOR_ORG_391,113,andor1000_placeholder
PROV_9999938597,ANDOR_ORG_123,113,andor1000_placeholder
PROV_9999985697,ANDOR_ORG_220,113,andor1000_placeholder
PROV_9999981399,ANDOR_ORG_539,111,andor1000_placeholder
PROV_9999979195,ANDOR_ORG_456,111,andor1000_placeholder
PROV_9999995191,ANDOR_ORG_435,107,andor1000_placeholder
PROV_9999951699,ANDOR_ORG_530,105,andor1000_placeholder
PROV_9999997692,ANDOR_ORG_683,105,andor1000_placeholder
PROV_9999981597,ANDOR_ORG_082,104,andor1000_placeholder
PROV_9999999094,ANDOR_ORG_272,101,andor1000_placeholder
PROV_9999951194,ANDOR_ORG_201,100,andor1000_placeholder
PROV_9999992792,ANDOR_ORG_207,100,andor1000_placeholder
PROV_9999948992,ANDOR_ORG_146,100,andor1000_placeholder
PROV_9999974592,ANDOR_ORG_131,99,andor1000_placeholder
PROV_9999999698,ANDOR_ORG_304,99,andor1000_placeholder
PROV_9999988592,ANDOR_ORG_369,97,andor1000_placeholder
PROV_9999974394,ANDOR_ORG_212,97,andor1000_placeholder
PROV_9999985291,ANDOR_ORG_598,97,andor1000_placeholder
PROV_9999972190,ANDOR_ORG_019,96,andor1000_placeholder
PROV_9999971390,ANDOR_ORG_094,95,andor1000_placeholder
PROV_9999973297,ANDOR_ORG_325,95,andor1000_placeholder
PROV_9999942490,ANDOR_ORG_108,94,andor1000_placeholder
PROV_9999989590,ANDOR_ORG_458,94,andor1000_placeholder
PROV_9999984096,ANDOR_ORG_353,94,andor1000_placeholder
PROV_9999959296,ANDOR_ORG_457,94,andor1000_placeholder
PROV_9999952390,ANDOR_ORG_566,93,andor1000_placeholder
PROV_9999940692,ANDOR_ORG_051,93,andor1000_placeholder
PROV_9999984690,ANDOR_ORG_432,93,andor1000_placeholder
PROV_9999986497,ANDOR_ORG_022,93,andor1000_placeholder
PROV_9999956995,ANDOR_ORG_309,93,andor1000_placeholder
PROV_9999989491,ANDOR_ORG_202,93,andor1000_placeholder
PROV_9999991190,ANDOR_ORG_257,91,andor1000_placeholder
PROV_9999956094,ANDOR_ORG_374,91,andor1000_placeholder
PROV_9999950790,ANDOR_ORG_581,91,andor1000_placeholder
PROV_9999970491,ANDOR_ORG_438,90,andor1000_placeholder
PROV_9999971499,ANDOR_ORG_407,90,andor1000_placeholder
PROV_9999997791,ANDOR_ORG_759,90,andor1000_placeholder
PROV_9999965798,ANDOR_ORG_013,90,andor1000_placeholder
PROV_9999982892,ANDOR_ORG_450,90,andor1000_placeholder
PROV_9999946897,ANDOR_ORG_576,86,andor1000_placeholder
PROV_9999912295,ANDOR_ORG_016,85,andor1000_placeholder
PROV_9999994996,ANDOR_ORG_193,85,andor1000_placeholder
PROV_9999948497,ANDOR_ORG_349,85,andor1000_placeholder
PROV_9999984294,ANDOR_ORG_010,83,andor1000_placeholder
PROV_9999950899,ANDOR_ORG_630,83,andor1000_placeholder
PROV_9999967299,ANDOR_ORG_367,82,andor1000_placeholder
PROV_9999972695,ANDOR_ORG_079,81,andor1000_placeholder
PROV_9999955393,ANDOR_ORG_163,81,andor1000_placeholder
PROV_9999979591,ANDOR_ORG_029,81,andor1000_placeholder
PROV_9999995092,ANDOR_ORG_076,81,andor1000_placeholder
PROV_9999950394,ANDOR_ORG_744,80,andor1000_placeholder
PROV_9999943993,ANDOR_ORG_729,80,andor1000_placeholder
PROV_9999985093,ANDOR_ORG_215,80,andor1000_placeholder
PROV_9999972497,ANDOR_ORG_091,79,andor1000_placeholder
PROV_9999986398,ANDOR_ORG_596,79,andor1000_placeholder
PROV_9999976696,ANDOR_ORG_521,79,andor1000_placeholder
PROV_9999985499,ANDOR_ORG_671,78,andor1000_placeholder
PROV_9999947796,ANDOR_ORG_451,78,andor1000_placeholder
PROV_9999938795,ANDOR_ORG_261,78,andor1000_placeholder
PROV_9999940791,ANDOR_ORG_503,77,andor1000_placeholder
PROV_9999999391,ANDOR_ORG_398,77,andor1000_placeholder
PROV_9999939694,ANDOR_ORG_192,76,andor1000_placeholder
PROV_9999955195,ANDOR_ORG_009,76,andor1000_placeholder
PROV_9999945097,ANDOR_ORG_127,76,andor1000_placeholder
PROV_9999984195,ANDOR_ORG_477,75,andor1000_placeholder
PROV_9999980896,ANDOR_ORG_260,75,andor1000_placeholder
PROV_9999968297,ANDOR_ORG_288,74,andor1000_placeholder
PROV_9999994491,ANDOR_ORG_167,74,andor1000_placeholder
PROV_9999998799,ANDOR_ORG_655,74,andor1000_placeholder
PROV_9999937599,ANDOR_ORG_001,73,andor1000_placeholder
PROV_9999973198,ANDOR_ORG_054,73,andor1000_placeholder
PROV_9999979393,ANDOR_ORG_364,73,andor1000_placeholder
PROV_9999947598,ANDOR_ORG_649,72,andor1000_placeholder
PROV_9999971994,ANDOR_ORG_140,71,andor1000_placeholder
PROV_9999975490,ANDOR_ORG_660,71,andor1000_placeholder
PROV_9999923193,ANDOR_ORG_734,70,andor1000_placeholder
PROV_9999923797,ANDOR_ORG_351,69,andor1000_placeholder
PROV_9999941393,ANDOR_ORG_006,68,andor1000_placeholder
PROV_9999928697,ANDOR_ORG_090,67,andor1000_placeholder
PROV_9999998393,ANDOR_ORG_719,67,andor1000_placeholder
PROV_9999950295,ANDOR_ORG_470,66,andor1000_placeholder
PROV_9999937698,ANDOR_ORG_646,66,andor1000_placeholder
PROV_9999989293,ANDOR_ORG_628,66,andor1000_placeholder
PROV_9999938191,ANDOR_ORG_659,66,andor1000_placeholder
PROV_9999989897,ANDOR_ORG_767,66,andor1000_placeholder
PROV_9999944595,ANDOR_ORG_626,65,andor1000_placeholder
PROV_9999972091,ANDOR_ORG_134,65,andor1000_placeholder
PROV_9999954297,ANDOR_ORG_606,65,andor1000_placeholder
PROV_9999992099,ANDOR_ORG_592,65,andor1000_placeholder
PROV_9999947291,ANDOR_ORG_073,65,andor1000_placeholder
PROV_9999969790,ANDOR_ORG_017,65,andor1000_placeholder
PROV_9999983395,ANDOR_ORG_453,64,andor1000_placeholder
PROV_9999952895,ANDOR_ORG_686,64,andor1000_placeholder
PROV_9999995894,ANDOR_ORG_265,64,andor1000_placeholder
PROV_9999940296,ANDOR_ORG_119,64,andor1000_placeholder
PROV_9999983494,ANDOR_ORG_166,63,andor1000_placeholder
PROV_9999942391,ANDOR_ORG_282,63,andor1000_placeholder
PROV_9999945295,ANDOR_ORG_381,63,andor1000_placeholder
PROV_9999952291,ANDOR_ORG_183,63,andor1000_placeholder
PROV_9999939199,ANDOR_ORG_129,63,andor1000_placeholder
PROV_9999997593,ANDOR_ORG_155,63,andor1000_placeholder
PROV_9999946590,ANDOR_ORG_656,62,andor1000_placeholder
PROV_9999952796,ANDOR_ORG_247,62,andor1000_placeholder
PROV_9999980490,ANDOR_ORG_527,62,andor1000_placeholder
PROV_9999967893,ANDOR_ORG_707,62,andor1000_placeholder
PROV_9999992990,ANDOR_ORG_483,62,andor1000_placeholder
PROV_9999941997,ANDOR_ORG_237,62,andor1000_placeholder
PROV_9999970095,ANDOR_ORG_340,61,andor1000_placeholder
PROV_9999957191,ANDOR_ORG_126,61,andor1000_placeholder
PROV_9999990598,ANDOR_ORG_723,61,andor1000_placeholder
PROV_9999945592,ANDOR_ORG_496,60,andor1000_placeholder
PROV_9999940494,ANDOR_ORG_377,60,andor1000_placeholder
PROV_9999944397,ANDOR_ORG_368,60,andor1000_placeholder
PROV_9999979898,ANDOR_ORG_644,60,andor1000_placeholder
PROV_9999993592,ANDOR_ORG_248,59,andor1000_placeholder
PROV_9999966291,ANDOR_ORG_411,59,andor1000_placeholder
PROV_9999943290,ANDOR_ORG_112,59,andor1000_placeholder
PROV_9999971093,ANDOR_ORG_479,58,andor1000_placeholder
PROV_9999981696,ANDOR_ORG_059,58,andor1000_placeholder
PROV_9999969493,ANDOR_ORG_460,57,andor1000_placeholder
PROV_9999920991,ANDOR_ORG_471,57,andor1000_placeholder
PROV_9999988790,ANDOR_ORG_213,57,andor1000_placeholder
PROV_9999959999,ANDOR_ORG_495,57,andor1000_placeholder
PROV_9999969097,ANDOR_ORG_402,57,andor1000_placeholder
PROV_9999954396,ANDOR_ORG_047,57,andor1000_placeholder
PROV_9999940890,ANDOR_ORG_060,57,andor1000_placeholder
PROV_9999949594,ANDOR_ORG_587,56,andor1000_placeholder
PROV_9999978791,ANDOR_ORG_664,56,andor1000_placeholder
PROV_9999960898,ANDOR_ORG_219,55,andor1000_placeholder
PROV_9999919498,ANDOR_ORG_003,54,andor1000_placeholder
PROV_9999969394,ANDOR_ORG_055,54,andor1000_placeholder
PROV_9999951798,ANDOR_ORG_768,53,andor1000_placeholder
PROV_9999969998,ANDOR_ORG_081,53,andor1000_placeholder
PROV_9999950493,ANDOR_ORG_154,53,andor1000_placeholder
PROV_9999957993,ANDOR_ORG_162,53,andor1000_placeholder
PROV_9999941096,ANDOR_ORG_652,53,andor1000_placeholder
PROV_9999988097,ANDOR_ORG_254,53,andor1000_placeholder
PROV_9999949297,ANDOR_ORG_050,53,andor1000_placeholder
PROV_9999939397,ANDOR_ORG_412,53,andor1000_placeholder
PROV_9999940999,ANDOR_ORG_147,52,andor1000_placeholder
PROV_9999968693,ANDOR_ORG_246,52,andor1000_placeholder
PROV_9999955591,ANDOR_ORG_159,52,andor1000_placeholder
PROV_9999937896,ANDOR_ORG_733,52,andor1000_placeholder
PROV_9999972596,ANDOR_ORG_224,52,andor1000_placeholder
PROV_9999942094,ANDOR_ORG_196,52,andor1000_placeholder
PROV_9999948299,ANDOR_ORG_760,52,andor1000_placeholder
PROV_9999973990,ANDOR_ORG_700,51,andor1000_placeholder
PROV_9999978098,ANDOR_ORG_346,50,andor1000_placeholder
PROV_9999997494,ANDOR_ORG_551,50,andor1000_placeholder
PROV_9999971291,ANDOR_ORG_244,50,andor1000_placeholder
PROV_9999962290,ANDOR_ORG_225,50,andor1000_placeholder
PROV_9999970798,ANDOR_ORG_359,50,andor1000_placeholder
PROV_9999943498,ANDOR_ORG_534,50,andor1000_placeholder
PROV_9999983593,ANDOR_ORG_571,49,andor1000_placeholder
PROV_9999974097,ANDOR_ORG_507,49,andor1000_placeholder
PROV_9999958090,ANDOR_ORG_026,49,andor1000_placeholder
PROV_9999945196,ANDOR_ORG_386,48,andor1000_placeholder
PROV_9999948695,ANDOR_ORG_312,48,andor1000_placeholder
PROV_9999951392,ANDOR_ORG_056,48,andor1000_placeholder
PROV_9999977496,ANDOR_ORG_235,48,andor1000_placeholder
PROV_9999949099,ANDOR_ORG_101,47,andor1000_placeholder
PROV_9999942896,ANDOR_ORG_445,47,andor1000_placeholder
PROV_9999980094,ANDOR_ORG_422,47,andor1000_placeholder
PROV_9999970392,ANDOR_ORG_564,47,andor1000_placeholder
PROV_9999959593,ANDOR_ORG_509,46,andor1000_placeholder
PROV_9999986695,ANDOR_ORG_679,46,andor1000_placeholder
PROV_9999946095,ANDOR_ORG_105,46,andor1000_placeholder
PROV_9999950691,ANDOR_ORG_738,46,andor1000_placeholder
PROV_9999945998,ANDOR_ORG_616,46,andor1000_placeholder
PROV_9999926493,ANDOR_ORG_672,45,andor1000_placeholder
PROV_9999963397,ANDOR_ORG_222,45,andor1000_placeholder
PROV_9999955096,ANDOR_ORG_440,45,andor1000_placeholder
PROV_9999951590,ANDOR_ORG_515,45,andor1000_placeholder
PROV_9999954693,ANDOR_ORG_467,45,andor1000_placeholder
PROV_9999962894,ANDOR_ORG_647,44,andor1000_placeholder
PROV_9999963991,ANDOR_ORG_406,44,andor1000_placeholder
PROV_9999952093,ANDOR_ORG_461,44,andor1000_placeholder
PROV_9999964197,ANDOR_ORG_494,44,andor1000_placeholder
PROV_9999987594,ANDOR_ORG_651,44,andor1000_placeholder
PROV_9999984997,ANDOR_ORG_757,43,andor1000_placeholder
PROV_9999945899,ANDOR_ORG_572,43,andor1000_placeholder
PROV_9999983791,ANDOR_ORG_613,43,andor1000_placeholder
PROV_9999967992,ANDOR_ORG_601,43,andor1000_placeholder
PROV_9999972992,ANDOR_ORG_677,43,andor1000_placeholder
PROV_9999942698,ANDOR_ORG_541,43,andor1000_placeholder
PROV_9999948794,ANDOR_ORG_562,42,andor1000_placeholder
PROV_9999993899,ANDOR_ORG_044,42,andor1000_placeholder
PROV_9999984799,ANDOR_ORG_693,42,andor1000_placeholder
PROV_9999946392,ANDOR_ORG_376,42,andor1000_placeholder
PROV_9999943894,ANDOR_ORG_650,42,andor1000_placeholder
PROV_9999985390,ANDOR_ORG_423,42,andor1000_placeholder
PROV_9999944991,ANDOR_ORG_330,42,andor1000_placeholder
PROV_9999968990,ANDOR_ORG_336,42,andor1000_placeholder
PROV_9999940197,ANDOR_ORG_077,42,andor1000_placeholder
PROV_9999945691,ANDOR_ORG_255,41,andor1000_placeholder
PROV_9999945493,ANDOR_ORG_102,41,andor1000_placeholder
PROV_9999916890,ANDOR_ORG_493,41,andor1000_placeholder
PROV_9999981191,ANDOR_ORG_371,41,andor1000_placeholder
PROV_9999956599,ANDOR_ORG_410,41,andor1000_placeholder
PROV_9999957795,ANDOR_ORG_298,40,andor1000_placeholder
PROV_9999998997,ANDOR_ORG_517,40,andor1000_placeholder
PROV_9999953299,ANDOR_ORG_642,39,andor1000_placeholder
PROV_9999948596,ANDOR_ORG_405,39,andor1000_placeholder
PROV_9999979294,ANDOR_ORG_681,39,andor1000_placeholder
PROV_9999971697,ANDOR_ORG_328,39,andor1000_placeholder
PROV_9999938696,ANDOR_ORG_053,39,andor1000_placeholder
PROV_9999949495,ANDOR_ORG_485,38,andor1000_placeholder
PROV_9999923995,ANDOR_ORG_488,38,andor1000_placeholder
PROV_9999953794,ANDOR_ORG_025,38,andor1000_placeholder
PROV_9999987099,ANDOR_ORG_217,38,andor1000_placeholder
PROV_9999962696,ANDOR_ORG_424,38,andor1000_placeholder
PROV_9999953695,ANDOR_ORG_313,37,andor1000_placeholder
PROV_9999952192,ANDOR_ORG_323,37,andor1000_placeholder
PROV_9999934398,ANDOR_ORG_674,37,andor1000_placeholder
PROV_9999957498,ANDOR_ORG_730,37,andor1000_placeholder
PROV_9999970699,ANDOR_ORG_475,36,andor1000_placeholder
PROV_9999951095,ANDOR_ORG_158,36,andor1000_placeholder
PROV_9999949990,ANDOR_ORG_547,36,andor1000_placeholder
PROV_9999980698,ANDOR_ORG_030,35,andor1000_placeholder
PROV_9999944793,ANDOR_ORG_737,35,andor1000_placeholder
PROV_9999940098,ANDOR_ORG_653,35,andor1000_placeholder
PROV_9999931097,ANDOR_ORG_005,35,andor1000_placeholder
PROV_9999943696,ANDOR_ORG_382,34,andor1000_placeholder
PROV_9999988998,ANDOR_ORG_454,34,andor1000_placeholder
PROV_9999963793,ANDOR_ORG_065,34,andor1000_placeholder
PROV_9999943092,ANDOR_ORG_690,34,andor1000_placeholder
PROV_9999947192,ANDOR_ORG_561,34,andor1000_placeholder
PROV_9999950998,ANDOR_ORG_583,34,andor1000_placeholder
PROV_9999978494,ANDOR_ORG_194,33,andor1000_placeholder
PROV_9999947499,ANDOR_ORG_285,33,andor1000_placeholder
PROV_9999941195,ANDOR_ORG_545,33,andor1000_placeholder
PROV_9999947390,ANDOR_ORG_064,33,andor1000_placeholder
PROV_9999980599,ANDOR_ORG_482,33,andor1000_placeholder
PROV_9999932996,ANDOR_ORG_600,32,andor1000_placeholder
PROV_9999960492,ANDOR_ORG_024,32,andor1000_placeholder
PROV_9999895391,ANDOR_ORG_305,32,andor1000_placeholder
PROV_9999944694,ANDOR_ORG_519,32,andor1000_placeholder
PROV_9999969295,ANDOR_ORG_184,32,andor1000_placeholder
PROV_9999980797,ANDOR_ORG_682,32,andor1000_placeholder
PROV_9999960096,ANDOR_ORG_230,32,andor1000_placeholder
PROV_9999959692,ANDOR_ORG_421,32,andor1000_placeholder
PROV_9999947697,ANDOR_ORG_295,32,andor1000_placeholder
PROV_9999948893,ANDOR_ORG_584,32,andor1000_placeholder
PROV_9999961292,ANDOR_ORG_344,32,andor1000_placeholder
PROV_9999960690,ANDOR_ORG_097,32,andor1000_placeholder
PROV_9999973891,ANDOR_ORG_191,31,andor1000_placeholder
PROV_9999960294,ANDOR_ORG_537,31,andor1000_placeholder
PROV_9999939298,ANDOR_ORG_684,31,andor1000_placeholder
PROV_9999954198,ANDOR_ORG_430,30,andor1000_placeholder
PROV_9999986299,ANDOR_ORG_609,30,andor1000_placeholder
PROV_9999934497,ANDOR_ORG_315,30,andor1000_placeholder
PROV_9999937995,ANDOR_ORG_303,30,andor1000_placeholder
PROV_9999939793,ANDOR_ORG_284,30,andor1000_placeholder
PROV_9999938092,ANDOR_ORG_095,30,andor1000_placeholder
PROV_9999939090,ANDOR_ORG_528,30,andor1000_placeholder
PROV_9999947895,ANDOR_ORG_104,30,andor1000_placeholder
PROV_9999943795,ANDOR_ORG_106,29,andor1000_placeholder
PROV_9999938290,ANDOR_ORG_120,29,andor1000_placeholder
PROV_9999908491,ANDOR_ORG_143,29,andor1000_placeholder
PROV_9999934992,ANDOR_ORG_662,29,andor1000_placeholder
PROV_9999978197,ANDOR_ORG_575,28,andor1000_placeholder
PROV_9999942292,ANDOR_ORG_408,28,andor1000_placeholder
PROV_9999980391,ANDOR_ORG_086,28,andor1000_placeholder
PROV_9999974295,ANDOR_ORG_121,28,andor1000_placeholder
PROV_9999946293,ANDOR_ORG_021,28,andor1000_placeholder
PROV_9999935197,ANDOR_ORG_591,28,andor1000_placeholder
PROV_9999941492,ANDOR_ORG_335,28,andor1000_placeholder
PROV_9999901298,ANDOR_ORG_635,27,andor1000_placeholder
PROV_9999942797,ANDOR_ORG_004,27,andor1000_placeholder
PROV_9999970590,ANDOR_ORG_437,27,andor1000_placeholder
PROV_9999937490,ANDOR_ORG_263,27,andor1000_placeholder
PROV_9999981092,ANDOR_ORG_638,27,andor1000_placeholder
PROV_9999973792,ANDOR_ORG_388,27,andor1000_placeholder
PROV_9999926295,ANDOR_ORG_070,27,andor1000_placeholder
PROV_9999968891,ANDOR_ORG_663,27,andor1000_placeholder
PROV_9999969196,ANDOR_ORG_486,26,andor1000_placeholder
PROV_9999948398,ANDOR_ORG_322,26,andor1000_placeholder
PROV_9999938498,ANDOR_ORG_492,26,andor1000_placeholder
PROV_9999955898,ANDOR_ORG_148,26,andor1000_placeholder
PROV_9999934893,ANDOR_ORG_439,26,andor1000_placeholder
PROV_9999962597,ANDOR_ORG_602,26,andor1000_placeholder
PROV_9999981498,ANDOR_ORG_197,25,andor1000_placeholder
PROV_9999973495,ANDOR_ORG_465,25,andor1000_placeholder
PROV_9999980995,ANDOR_ORG_357,25,andor1000_placeholder
PROV_9999964098,ANDOR_ORG_015,25,andor1000_placeholder
PROV_9999987495,ANDOR_ORG_654,25,andor1000_placeholder
PROV_9999948091,ANDOR_ORG_037,25,andor1000_placeholder
PROV_9999974493,ANDOR_ORG_658,25,andor1000_placeholder
PROV_9999958496,ANDOR_ORG_280,25,andor1000_placeholder
PROV_9999896290,ANDOR_ORG_286,24,andor1000_placeholder
